bin.chrom	bin.start	bin.end	window
chr1	0	1091337	1091338
chr1	2530820	2941980	411161
chr1	3562166	4039451	477286
chr1	12804213	14004077	1199865
chr1	16695950	17322923	626974
chr1	24008680	24465937	457258
chr1	25470944	25901633	430690
chr1	29819478	30286125	466648
chr1	83519313	84067222	547910
chr1	103567436	104107187	539752
chr1	104107188	104590361	483174
chr1	108484752	108993906	509155
chr1	120402517	121326396	923880
chr1	121326397	144931188	23604792
chr1	144931189	145520501	589313
chr1	145520502	146602575	1082074
chr1	147288040	149122964	1834925
chr1	149122965	150000805	877841
chr1	161478718	161919762	441045
chr1	196493030	196874965	381936
chr1	205875174	206686722	811549
chr1	223419223	223827661	408439
chr1	223827662	224281500	453839
chr1	234968882	235356040	387159
chr1	243058683	243590625	531943
chr1	248364112	248845128	481017
chr2	4965134	5385522	420389
chr2	86740528	87377382	636855
chr2	87377383	88506067	1128685
chr2	89197076	90241996	1044921
chr2	90241997	95532300	5290304
chr2	95882175	96383015	500841
chr2	96383016	96948653	565638
chr2	97637976	98425264	787289
chr2	106951483	107389523	438041
chr2	108346159	108753543	407385
chr2	109087509	109509761	422253
chr2	109838954	110296082	457129
chr2	110296083	111191067	894985
chr2	111191068	111709232	518165
chr2	111709233	112117054	407822
chr2	112117055	112767337	650283
chr2	113114967	113546607	431641
chr2	113868296	114439629	571334
chr2	130488100	130986950	498851
chr2	130986951	131640600	653650
chr2	131640601	132106636	466036
chr2	132106637	132698400	591764
chr2	132698401	133243053	544653
chr2	149413472	149839621	426150
chr2	242758698	243199372	440675
chr3	0	384586	384587
chr3	66054993	66482762	427770
chr3	75275861	75974338	698478
chr3	90243914	93690581	3446668
chr3	125299360	125796325	496966
chr3	129756026	130188232	432207
chr3	195334395	195808067	473673
chr4	3821705	4330821	509117
chr4	8906817	9719708	812892
chr4	48934742	52757532	3822791
chr4	69938055	70372085	434031
chr4	75096837	75524489	427653
chr4	119134479	119633343	498865
chr4	119955794	120385642	429849
chr4	132650563	133123312	472750
chr4	144556644	145075872	519229
chr5	399101	796053	396953
chr5	17344397	17776251	431855
chr5	20688773	21174676	485904
chr5	21174677	21634856	460180
chr5	33822984	34336695	513712
chr5	46188027	49621170	3433144
chr5	68682324	70870812	2188489
chr5	98773041	99170044	397004
chr5	138633397	139046272	412876
chr5	175222715	175811855	589141
chr5	176833768	177434395	600628
chr6	0	517795	517796
chr6	26554673	27118805	564133
chr6	31934541	32345550	411010
chr6	57484444	57978253	493810
chr6	57978254	58700617	722364
chr6	58700618	62285468	3584851
chr6	95425109	95928905	503797
chr6	157508468	157931690	423223
chr6	167858666	168272093	413428
chr6	170593518	171115066	521549
chr7	5580382	6048929	468548
chr7	6415875	6837068	421194
chr7	6837069	7297124	460056
chr7	32477857	32919261	441405
chr7	34934457	35407268	472812
chr7	45703412	46111709	408298
chr7	56078300	56531509	453210
chr7	56531510	57219640	688131
chr7	57588379	61550465	3962087
chr7	61550466	62189670	639205
chr7	62561563	63430271	868709
chr7	64169351	64664230	494880
chr7	64664231	65263324	599094
chr7	66474251	66984873	510623
chr7	72082865	72891326	808462
chr7	74012518	75301673	1289156
chr7	76074057	76918570	844514
chr7	97305059	97747403	442345
chr7	100285692	100716453	430762
chr7	101827680	102491081	663402
chr7	102491082	102920214	429133
chr7	127827819	128225470	397652
chr7	129986432	130426048	439617
chr7	143170063	143811965	641903
chr7	143811966	144325500	513535
chr7	149328300	149768172	439873
chr7	149768173	150251553	483381
chr7	153399972	153933858	533887
chr7	154254942	154676672	421731
chr8	0	542551	542552
chr8	6753373	8154985	1401613
chr8	11735440	12643881	908442
chr8	43576818	46990468	3413651
chr8	86500399	87104813	604415
chr8	142495461	142884550	389090
chr8	145174421	145754226	579806
chr9	0	502086	502087
chr9	33506461	33940319	433859
chr9	38349410	38737329	387920
chr9	38737330	43772147	5034818
chr9	43772148	66792273	23020126
chr9	66792274	70966584	4174311
chr9	92068713	92486058	417346
chr9	92486059	92954883	468825
chr9	97019376	97470322	450947
chr9	99454292	99917020	462729
chr9	133051736	133534402	482667
chr10	0	440381	440382
chr10	17595174	18360282	765109
chr10	38367612	38986587	618976
chr10	38986588	42778883	3792296
chr10	45933242	47008315	1075074
chr10	47008316	48310240	1301925
chr10	48620875	49632833	1011959
chr10	50887001	51817618	930618
chr10	51817619	52312291	494673
chr10	52312292	52713060	400769
chr10	81066791	81486085	419295
chr10	81486086	81990013	503928
chr10	88577665	89184259	606595
chr10	89184260	89574979	390720
chr10	128326184	128815720	489537
chr11	0	533847	533848
chr11	3210409	3760337	549929
chr11	4114209	4571760	457552
chr11	48177983	48624298	446316
chr11	48624299	49147620	523322
chr11	49147621	49674283	526663
chr11	49674284	50193119	518836
chr11	50583115	51388598	805484
chr11	51388599	55044083	3655485
chr11	67265469	67790421	524953
chr11	69498376	69896330	397955
chr11	71202841	71740684	537844
chr11	88375539	88787161	411623
chr11	89222865	89949498	726634
chr11	96208959	96702192	493234
chr11	134610516	135006515	396000
chr12	0	493667	493668
chr12	8261653	8776356	514704
chr12	9503960	9957797	453838
chr12	34784811	38239015	3454205
chr12	63736077	64198025	461949
chr12	132688964	133124838	435875
chr13	0	19672207	19672208
chr13	19672208	20138424	466217
chr13	52702130	53249384	547255
chr13	86479970	86956138	476169
chr13	112158178	112620403	462226
chr13	114294905	114821061	526157
chr14	0	20388039	20388040
chr14	105783636	106227617	443982
chr15	0	21912658	21912659
chr15	21912659	22822436	909778
chr15	22822437	23626191	803755
chr15	24319889	24858316	538428
chr15	28412266	29301821	889556
chr15	30294445	31251673	957229
chr15	31901916	32296001	394086
chr15	32296002	33061913	765912
chr15	34761777	35143398	381622
chr15	43804009	44292938	488930
chr15	82482473	83470466	987994
chr15	84483361	85052319	568959
chr15	85435905	85853881	417977
chr16	0	438592	438593
chr16	2511132	2949866	438735
chr16	14769988	15675645	905658
chr16	16022948	16858217	835270
