bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	1989902	1989903	68	158	1934728	0.565509027521969
chr1	1989903	3146713	1156811	19	89	3095869	0.581689759078649
chr1	3146714	4372508	1225795	14	51	4320243	0.538927025793583
chr1	4372509	5438635	1066127	2	4	5385945	0.465842589221906
chr1	5438636	6528720	1090085	14	34	6465086	0.517901048129536
chr1	6528721	7622683	1093963	8	15	7569546	0.482589542323509
chr1	7622684	8759015	1136332	8	21	8702745	0.453451383530964
chr1	8759016	9934062	1175047	14	27	9876920	0.491937107658348
chr1	9934063	11100662	1166600	15	26	11035651	0.481488812688676
chr1	11100663	12246873	1146211	23	26	12192985	0.505368849566554
chr1	12246874	14220484	1973611	35	13	14163785	0.450049127963328
chr1	14220485	15303906	1083422	1	3	15249494	0.446648183214113
chr1	15303907	16460783	1156877	26	26	16402509	0.493253228137315
chr1	16460784	17893938	1433155	24	51	17836607	0.496035746026013
chr1	17893939	18942362	1048424	3	9	18887271	0.496271184030785
chr1	18942363	20033344	1090982	18	25	19977212	0.490016572543996
chr1	20033345	21148241	1114897	21	16	21088775	0.473545019442922
chr1	21148242	22345438	1197197	9	22	22261048	0.466432480329938
chr1	22345439	23426967	1081529	13	18	23374481	0.487800669340842
chr1	23426968	24687364	1260397	25	24	24635821	0.470474697228545
chr1	24687365	25901633	1214269	13	19	25849490	0.468568728646419
chr1	25901634	27061300	1159667	29	29	27005314	0.484380214003698
chr1	27061301	28257750	1196450	29	38	28196831	0.488808221619229
chr1	28257751	29489650	1231900	27	23	29428417	0.451116007595683
chr1	29489651	30708251	1218601	2	6	30653344	0.480794051884194
chr1	30708252	31831888	1123637	12	13	31776301	0.47425724814706
chr1	31831889	32991709	1159821	30	33	32929856	0.4819672176214
chr1	32991710	34130568	1138859	19	29	34079087	0.465560075633889
chr1	34130569	35202041	1071473	2	2	35150173	0.444821981815376
chr1	35202042	36355143	1153102	19	25	36297124	0.43685041364037
chr1	36355144	37460900	1105757	15	16	37409360	0.476433570278066
chr1	37460901	38577515	1116615	20	24	38524677	0.476448904705458
chr1	38577516	39703957	1126442	8	10	39644808	0.448147607130345
chr1	39703958	40881512	1177555	21	25	40821320	0.447973596369336
chr1	40881513	41991604	1110092	16	23	41941416	0.460847094435037
chr1	41991605	43079513	1087909	7	8	43022062	0.433374194502419
chr1	43079514	44205688	1126175	27	31	44149837	0.46923560781455
chr1	44205689	45305207	1099519	24	25	45246662	0.471369022776957
chr1	45305208	46512666	1207459	21	16	46456671	0.428537221534311
chr1	46512667	47769536	1256870	24	22	47710525	0.453009708653119
chr1	47769537	48866774	1097238	8	16	48807076	0.454574735182969
chr1	48866775	49955027	1088253	2	3	49900890	0.401770779115569
chr1	49955028	51078268	1123241	3	10	51024695	0.393029160958539
