bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	1200862	1200863	34	71	1146783	0.486256836697419
chr1	1200863	1758056	557194	29	68	1699329	0.566967698862509
chr1	1758057	2211809	453753	8	35	2156893	0.555670155348868
chr1	2211810	2734370	522561	12	48	2584410	0.597145709750916
chr1	2734371	3146713	412343	4	25	3095869	0.568332674496594
chr1	3146714	3562165	415452	5	33	3509428	0.586354139587676
chr1	3562166	4151406	589241	9	16	4093214	0.522258856276149
chr1	4151407	4582449	431043	1	2	4530508	0.476803938354022
chr1	4582450	5009809	427360	1	4	4957105	0.479836671658583
chr1	5009810	5438635	428826	0	0	5385945	0.44133751218448
chr1	5438636	5862660	424025	0	2	5808709	0.483146040917528
chr1	5862661	6292611	429951	6	15	6234130	0.533179362299489
chr1	6292612	6759913	467302	15	28	6701963	0.538859238779057
chr1	6759914	7194329	434416	1	4	7141152	0.462957165481597
chr1	7194330	7622683	428354	0	0	7569546	0.4835416501306
chr1	7622684	8072428	449745	6	10	8011766	0.470379881933129
chr1	8072429	8531462	459034	2	11	8477133	0.461634650156633
chr1	8531463	8997861	466399	1	4	8932603	0.425189590886962
chr1	8997862	9453049	455188	7	10	9398767	0.506206226877617
chr1	9453050	9934062	481013	6	13	9876920	0.500736986318428
chr1	9934063	10425794	491732	5	7	10368430	0.444837838497388
chr1	10425795	10868839	443045	7	17	10816520	0.502474917897748
chr1	10868840	11338927	470088	8	6	11278670	0.484821990776106
chr1	11338928	11784383	445456	6	11	11726876	0.515179950432759
chr1	11784384	12246873	462490	12	11	12192985	0.517449025925027
chr1	12246874	12687496	440623	4	6	12633367	0.454613127321807
chr1	12687497	14004077	1316581	30	4	13942335	0.460351476971715
chr1	14004078	14436688	432611	1	3	14384214	0.431061623490847
chr1	14436689	14874337	437649	0	0	14820457	0.425224323601778
chr1	14874338	15303906	429569	1	3	15249494	0.477227174214127
chr1	15303907	15743198	439292	4	5	15687619	0.491188093568878
chr1	15743199	16228898	485700	15	16	16167797	0.480172946262948
chr1	16228899	16695949	467051	11	15	16630303	0.507833191664197
chr1	16695950	17435203	739254	14	35	17379515	0.490385443205085
chr1	17435204	17893938	458735	6	6	17836607	0.501356992599132
chr1	17893939	18314264	420326	1	3	18261423	0.508310216355898
chr1	18314265	18728471	414207	1	5	18677004	0.495018191387426
chr1	18728472	19153081	424610	2	10	19099910	0.491604060196432
chr1	19153082	19577977	424896	5	7	19521834	0.482711063413107
chr1	19577978	20033344	455367	12	9	19977212	0.487026947495023
chr1	20033345	20488278	454934	7	2	20432910	0.4570948753006
chr1	20488279	20917169	428891	8	7	20859544	0.484948390150406
chr1	20917170	21369932	452763	6	7	21314974	0.434573938241357
chr1	21369933	21868788	498856	3	9	21805178	0.465340699520422
chr1	21868789	22345438	476650	6	13	22261048	0.509682156718926
chr1	22345439	22783255	437817	4	8	22727761	0.486456670252725
chr1	22783256	23202358	419103	6	8	23149567	0.505691918215852
chr1	23202359	23658162	455804	5	4	23603517	0.444794253670434
chr1	23658163	24130790	472628	13	16	24073247	0.483725043797505
chr1	24130791	24687364	556574	10	6	24635821	0.473554280293271
chr1	24687365	25150125	462761	5	6	25089220	0.446792188624403
chr1	25150126	25586165	436040	3	7	25526852	0.489998623979304
chr1	25586166	26121895	535730	6	9	26068850	0.473051723816023
chr1	26121896	26579688	457793	17	14	26519849	0.484430736162373
chr1	26579689	27061300	481612	11	12	27005314	0.481782015398502
chr1	27061301	27549665	488365	11	14	27480865	0.493888792194355
chr1	27549666	28012249	462584	12	19	27953083	0.50256169690275
chr1	28012250	28491043	478794	11	8	28430968	0.443303383083317
chr1	28491044	29006011	514968	17	12	28937744	0.460712121918209
chr1	29006012	29489650	483639	5	8	29428417	0.449854126735056
chr1	29489651	30073160	583510	2	6	29871261	0.489214830362378
chr1	30073161	30495853	422693	0	0	30441269	0.473267832682318
chr1	30495854	30924455	428602	0	0	30866032	0.479055160731857
chr1	30924456	31359926	435471	4	6	31307011	0.494935368830472
chr1	31359927	31831888	471962	8	7	31776301	0.450839262482926
chr1	31831889	32267225	435337	11	13	32216539	0.502252278120212
chr1	32267226	32747341	480116	13	12	32686081	0.46353381266191
chr1	32747342	33243237	495896	12	14	33183286	0.471848936067063
chr1	33243238	33705952	462715	8	13	33646982	0.467075845823171
chr1	33705953	34130568	424616	5	10	34079087	0.461525236920055
chr1	34130569	34557316	426748	1	0	34502397	0.452039611199048
chr1	34557317	34982440	425124	1	2	34929508	0.437213612969325
chr1	34982441	35412761	430321	6	9	35360233	0.46179712354264
chr1	35412762	35898824	486063	5	7	35841924	0.411792298529138
chr1	35898825	36355143	456319	8	9	36297124	0.441719498859374
chr1	36355144	36820286	465143	10	12	36764683	0.459766136435356
chr1	36820287	37256207	435921	4	4	37203413	0.484179472886116
chr1	37256208	37668726	412519	2	1	37616287	0.484794639761846
chr1	37668727	38116761	448035	6	7	38062407	0.471170779068392
chr1	38116762	38577515	460754	13	16	38524677	0.482626303841041
chr1	38577516	39004240	426725	0	1	38951841	0.448356669986366
chr1	39004241	39461290	457050	6	7	39395425	0.448874302592697
chr1	39461291	39927000	465710	3	3	39872805	0.430967769642001
chr1	39927001	40412484	485484	12	12	40353259	0.481025121322338
chr1	40412485	40881512	469028	8	12	40821320	0.432202341864428
chr1	40881513	41333961	452449	11	13	41280975	0.45632546430628
chr1	41333962	41786657	452696	3	4	41734249	0.43046768692463
chr1	41786658	42201133	414476	2	7	42150298	0.50860363446863
chr1	42201134	42634477	433344	2	3	42582146	0.435598508344347
chr1	42634478	43079513	445036	5	4	43022062	0.401601218777707
chr1	43079514	43532157	452644	10	13	43475926	0.456303408418149
chr1	43532158	43986399	454242	13	11	43930003	0.462436322488958
chr1	43986400	44422090	435691	6	10	44367356	0.47902986290758
chr1	44422091	44854924	432834	8	8	44800832	0.471513328435418
chr1	44854925	45305207	450283	14	14	45246662	0.479760506170528
chr1	45305208	45796202	490995	7	6	45730074	0.426896404240241
