bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	3146713	3146714	87	247	3095869	0.573599393300309
chr1	3146714	5438635	2291922	16	55	5385945	0.502384807507745
chr1	5438636	7622683	2184048	22	49	7569546	0.500245295226522
chr1	7622684	9934062	2311379	22	48	9876920	0.472694245594656
chr1	9934063	12246873	2312811	38	52	12192985	0.493428831127615
chr1	12246874	15303906	3057033	36	16	15249494	0.448348655588721
chr1	15303907	17893938	2590032	50	77	17836607	0.494644487081664
chr1	17893939	20033344	2139406	21	34	19977212	0.49314387828739
chr1	20033345	22345438	2312094	30	38	22261048	0.46998874988643
chr1	22345439	24687364	2341926	38	42	24635821	0.479137683284693
chr1	24687365	27061300	2373936	42	48	27005314	0.476474471325058
chr1	27061301	29489650	2428350	56	61	29428417	0.469962114607456
chr1	29489651	31831888	2342238	14	19	31776301	0.477525650015627
chr1	31831889	34130568	2298680	49	62	34079087	0.473763646627645
chr1	34130569	36355143	2224575	21	27	36297124	0.440836197727873
chr1	36355144	38577515	2222372	35	40	38524677	0.476441237491762
chr1	38577516	40881512	2303997	29	35	40821320	0.44806060174984
chr1	40881513	43079513	2198001	23	31	43022062	0.447110644468728
chr1	43079514	45305207	2225694	51	56	45246662	0.470302315295754
chr1	45305208	47769536	2464329	45	38	47710525	0.440773465093715
chr1	47769537	49955027	2185491	10	19	49900890	0.428172757149269
chr1	49955028	52230390	2275363	9	18	52176544	0.39694070341216
chr1	52230391	54485768	2255378	33	31	54427661	0.447459664257317
chr1	54485769	56684440	2198672	19	22	56633467	0.441253443813319
chr1	56684441	58820263	2135823	6	5	58767009	0.408313447535634
chr1	58820264	61003973	2183710	10	12	60943840	0.400826185466318
chr1	61003974	63232519	2228546	8	12	63163736	0.403565510265581
chr1	63232520	65397487	2164968	12	8	65343955	0.402833465350389
chr1	65397488	67613577	2216090	15	17	67559522	0.385899220119539
chr1	67613578	69828444	2214867	10	10	69774012	0.393685242460766
chr1	69828445	72022729	2194285	11	8	71966021	0.3684729561841
chr1	72022730	74154560	2131831	0	1	74100615	0.349773408683633
chr1	74154561	76368556	2213996	15	10	76312351	0.367834446644027
chr1	76368557	78551289	2182733	12	11	78496160	0.386490267196219
chr1	78551290	80741982	2190693	5	2	80690636	0.362201676096793
chr1	80741983	82889953	2147971	1	1	82837804	0.361938941132259
chr1	82889954	85242351	2352398	11	10	85189920	0.374240454761914
chr1	85242352	87485817	2243466	19	17	87429854	0.387335547930671
chr1	87485818	89642225	2156408	10	10	89583546	0.384998503689959
chr1	89642226	91903953	2261728	13	19	91844984	0.3926471486985
chr1	91903954	94187445	2283492	24	19	94134897	0.401852469391086
chr1	94187446	96381244	2193799	15	13	96328811	0.404350822159236
chr1	96381245	98540393	2159149	3	4	98489786	0.361877072225363
chr1	98540394	100728602	2188209	15	8	100671008	0.371740600186655
chr1	100728603	102898325	2169723	11	8	102844175	0.37027201933572
chr1	102898326	105485195	2586870	9	1	105425669	0.34974562447598
chr1	105485196	107642727	2157532	1	2	107588936	0.349748769574252
chr1	107642728	110042672	2399945	29	28	109988937	0.404872939246696
chr1	110042673	112239655	2196983	45	32	112181389	0.436707943320971
chr1	112239656	114514620	2274965	23	25	114459517	0.423498546360892
chr1	114514621	116714538	2199918	18	15	116659118	0.412404069508789
chr1	116714539	118920539	2206001	17	14	118864522	0.412057983321425
chr1	118920540	145073280	26152741	33	41	104235915	0.40302416334226
chr1	145073281	150360467	5287187	71	132	98953077	0.42341534642941
chr1	150360468	152712103	2351636	72	41	96595749	0.439297564764686
