bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	1091337	1091338	24	50	1033648	0.555426508357199
chr1	1091338	1455237	363900	28	54	1371964	0.602861758206291
chr1	1455238	1876561	421324	13	41	1818992	0.538966292344816
chr1	1876562	2211809	335248	6	29	2156893	0.567818282672147
chr1	2211810	2530819	319010	12	43	2473328	0.607133028393757
chr1	2530820	2941980	411161	1	16	2889533	0.569978250045148
chr1	2941981	3251512	309532	3	23	3199251	0.570643153681082
chr1	3251513	3562165	310653	5	24	3509428	0.592961500609588
chr1	3562166	4039451	477286	9	16	3836805	0.535558610922583
chr1	4039452	4372508	333057	0	2	4320243	0.479071989414726
chr1	4372509	4689379	316871	1	0	4634873	0.478509083437539
chr1	4689380	5009809	320430	1	4	4957105	0.485611193340283
chr1	5009810	5333263	323454	0	0	5280904	0.432362827889264
chr1	5333264	5646410	313147	0	0	5593695	0.474236174071252
chr1	5646411	5968690	322280	1	4	5916939	0.502028837945251
chr1	5968691	6292611	323921	5	13	6234130	0.534657557182857
chr1	6292612	6646101	353490	11	23	6584379	0.551621252579506
chr1	6646102	6983037	336936	5	7	6930938	0.461225738135738
chr1	6983038	7301990	318953	0	2	7248119	0.473074247365401
chr1	7301991	7622683	320693	0	0	7569546	0.494450353636077
chr1	7622684	7952694	330011	3	7	7895829	0.476870154137904
chr1	7952695	8306736	354042	3	6	8246644	0.452928399235713
chr1	8306737	8643094	336358	2	8	8588872	0.447870659000759
chr1	8643095	8997861	354767	1	4	8932603	0.430074986929058
chr1	8997862	9344867	347006	6	8	9291637	0.49692888293379
chr1	9344868	9694966	350099	3	8	9637133	0.514021116156605
chr1	9694967	10063072	368106	7	11	9995513	0.490934751515197
chr1	10063073	10425794	362722	2	3	10368430	0.433328081962179
chr1	10425795	10763531	337737	7	15	10713330	0.493610275041805
chr1	10763532	11100662	337131	3	4	11035651	0.519690372680282
chr1	11100663	11454252	353590	5	4	11397167	0.477096085325311
chr1	11454253	11784383	330131	6	11	11726876	0.517581108251653
chr1	11784384	12134033	349650	11	10	12074814	0.518037593882786
chr1	12134034	12470855	336822	2	4	12414426	0.462601448900168
chr1	12470856	12804212	333357	5	3	12745451	0.464459516958364
chr1	12804213	14004077	1199865	28	4	13942335	0.456407984232701
chr1	14004078	14330017	325940	1	3	14274364	0.432548161595956
chr1	14330018	14650805	320788	0	0	14596380	0.421456791940768
chr1	14650806	14980605	329800	1	1	14927650	0.437837627110641
chr1	14980606	15303906	323301	0	2	15249494	0.485527550948302
chr1	15303907	15633594	329688	3	4	15576422	0.490187693272108
chr1	15633595	15983257	349663	8	7	15923419	0.478979983175442
chr1	15983258	16339681	356424	10	14	16282754	0.487443346598721
chr1	16339682	16695949	356268	9	11	16630303	0.517681546076391
chr1	16695950	17322923	626974	12	32	17257431	0.491023444115028
chr1	17322924	17653171	330248	5	5	17596821	0.494717457624665
chr1	17653172	17998481	345310	3	5	17946669	0.521016981294784
chr1	17998482	18314264	315783	1	2	18261423	0.494440450461619
chr1	18314265	18625925	311661	1	3	18574328	0.49463105452076
chr1	18625926	18942362	316437	1	3	18887271	0.481745236840858
chr1	18942363	19257199	314837	4	13	19204687	0.515970934924735
chr1	19257200	19577977	320778	2	3	19521834	0.467604119090394
chr1	19577978	19920720	342743	7	5	19857291	0.485141692746811
chr1	19920721	20257153	336433	8	6	20203237	0.470959268507373
chr1	20257154	20593918	336765	6	2	20539897	0.460323737035942
chr1	20593919	20917169	323251	6	5	20859544	0.490572770208109
chr1	20917170	21260737	343568	6	7	21206008	0.449455118533331
chr1	21260738	21605606	344869	1	2	21548805	0.422680798280222
chr1	21605607	21977229	371623	3	9	21924569	0.508776865761764
chr1	21977230	22345438	368209	5	11	22261048	0.495161602634172
chr1	22345439	22674574	329136	3	7	22620530	0.494860367868965
chr1	22674575	22991328	316754	5	6	22938699	0.486656971578131
chr1	22991329	23314117	322789	2	4	23255686	0.506345768959814
chr1	23314118	23658162	344045	5	3	23603517	0.429165479487031
chr1	23658163	24008679	350517	7	11	23946343	0.486325059715713
chr1	24008680	24465937	457258	12	9	24412703	0.471794988229772
chr1	24465938	24794007	328070	5	4	24740273	0.466188345711424
chr1	24794008	25150125	356118	4	4	25089220	0.448529901958892
chr1	25150126	25470943	320818	1	4	25416103	0.502796130661226
chr1	25470944	25901633	430690	7	9	25849490	0.463483969881717
chr1	25901634	26232905	331272	8	7	26175791	0.489767407063371
