bin.chrom	bin.start	bin.end	window
chr1	0	977835	977836
chr1	3780324	4151406	371083
chr1	12687497	13189333	501837
chr1	13189334	14004077	814744
chr1	16695950	17056655	360706
chr1	17056656	17435203	378548
chr1	24130791	24465937	335147
chr1	29710615	30073160	362546
chr1	83519313	83963136	443824
chr1	103567436	103913955	346520
chr1	103913956	104371958	458003
chr1	108697840	109144131	446292
chr1	120508460	121326396	817937
chr1	121326397	144071760	22745364
chr1	144071761	145073280	1001520
chr1	145073281	145520501	447221
chr1	145823582	146719694	896113
chr1	147182729	147636954	454226
chr1	147636955	149122964	1486010
chr1	149122965	149883876	760912
chr1	161478718	161815103	336386
chr1	205875174	206572389	697216
chr1	223937418	224281500	344083
chr1	243058683	243486076	427394
chr1	248489036	248845128	356093
chr1	248845129	249250620	405492
chr2	86851768	87377382	525615
chr2	87377383	88398376	1020994
chr2	89377233	90241996	864764
chr2	90241997	92275203	2033207
chr2	92275204	95658971	3383768
chr2	96181695	96676185	494491
chr2	97637976	98319589	681614
chr2	106815622	107178381	362760
chr2	109946580	110296082	349503
chr2	110296083	110878179	582097
chr2	110878180	111497320	619141
chr2	111919873	112422953	503081
chr2	112422954	112767337	344384
chr2	112992964	113320451	327488
chr2	113977392	114439629	462238
chr2	130594943	130986950	392008
chr2	130986951	131522216	535266
chr2	131754608	132106636	352029
chr2	132106637	132457223	350587
chr2	132457224	133000722	543499
chr2	242873950	243199372	325423
chr3	75424719	75974338	549620
chr3	90243914	93546647	3302734
chr3	125426068	125796325	370258
chr3	129756026	130080342	324317
chr3	197615319	198022429	407111
chr4	3978596	4330821	352226
chr4	8906817	9498461	591645
chr4	9498462	9854624	356163
chr4	49047322	52757532	3710211
chr4	119394522	119742900	348379
chr4	132650563	133011254	360692
chr5	17455036	17776251	321216
chr5	20581054	20954773	373720
chr5	21174677	21526702	352026
chr5	34039509	34503923	464415
chr5	46188027	49482387	3294361
chr5	68682324	70751669	2069346
chr5	175222715	175622326	399612
chr5	177067177	177597455	530279
chr6	0	410961	410962
chr6	26554673	27008814	454142
chr6	57754611	58277824	523214
chr6	58277825	58700617	422793
chr6	58700618	62098051	3397434
chr6	95665053	96035092	370040
chr6	167722003	168061956	339954
chr6	170702733	171115066	412334
chr7	5820899	6175614	354716
chr7	6659855	7071646	411792
chr7	32598274	32919261	320988
chr7	34934457	35303639	369183
chr7	56208723	56531509	322787
chr7	56785782	57344928	559147
chr7	57588379	58000218	411840
chr7	58000219	61877483	3877265
chr7	61877484	62189670	312187
chr7	62709729	63430271	720543
chr7	64410945	64796223	385279
chr7	64796224	65263324	467101
chr7	66338358	66684498	346141
chr7	71919056	72279602	360547
chr7	72279603	72891326	611724
chr7	74140303	75301673	1161371
chr7	76074057	76810157	736101
chr7	101941270	102491081	549812
chr7	130093295	130426048	332754
chr7	143170063	143701864	531802
chr7	143701865	144105010	403146
chr7	149441790	149768172	326383
chr7	149768173	150133696	365524
chr7	153399972	153763279	363308
chr8	0	432554	432555
chr8	6753373	7630379	877007
chr8	7630380	8262459	632080
chr8	11735440	12509752	774313
chr8	43681615	46990468	3308854
chr8	86392240	86893804	501565
chr8	145063476	145531766	468291
chr9	0	394721	394722
chr9	38737330	41980038	3242709
chr9	41980039	44779994	2799956
chr9	44779995	66792273	22012279
chr9	66792274	69197273	2405000
chr9	69197274	71117382	1920109
chr9	92279202	92739753	460552
chr9	97019376	97354152	334777
chr9	99573680	99917020	343341
chr9	133051736	133418768	367033
chr9	140884555	141213430	328876
chr10	0	331095	331096
chr10	17712660	18360282	647623
chr10	38494139	38986587	492449
chr10	38986588	42495236	3508649
chr10	42495237	42919624	424388
chr10	46156573	47115622	959050
chr10	47115623	48310240	1194618
chr10	48516979	49418272	901294
chr10	50887001	51518225	631225
chr10	51518226	52093890	575665
chr10	81486086	81865216	379131
chr10	88692109	89184259	492151
chr10	128549113	128921179	372067
chr10	135192008	135534746	342739
chr11	0	415370	415371
chr11	3399991	3760337	360347
chr11	4230159	4571760	341602
chr11	48445841	48781861	336021
chr11	48781862	49147620	365759
chr11	49147621	49502328	354708
chr11	49502329	49876911	374583
chr11	50720119	51388598	668480
chr11	51388599	54897631	3509033
chr11	67539283	67904888	365606
chr11	71365772	71740684	374913
chr11	88609015	88932484	323470
chr11	89222865	89838289	615425
chr11	96208959	96584367	375409
chr12	0	372934	372935
chr12	8261653	8662274	400622
chr12	9365235	9723291	358057
chr12	34784811	38103487	3318677
chr12	132577248	132905909	328662
chr12	133354165	133772924	418760
chr12	133772925	133851894	78970
chr13	0	19556781	19556782
chr13	19809049	20138424	329376
chr13	52702130	53038090	335961
