ID	chrom	loc.start	loc.end	num.mark	seg.mean
C121_S121_R1_001	1	1311585	39663211	64	-0.253498804672017
C121_S121_R1_001	1	40254119	115516910	135	0.104092806833779
C121_S121_R1_001	1	116049577	228616665	148	0.624116642049146
C121_S121_R1_001	1	229205321	247759503	34	-0.811863301554813
C121_S121_R1_001	2	1	23444647	44	0.104092806833779
C121_S121_R1_001	2	23975939	132906953	170	0.362583217162077
C121_S121_R1_001	2	133530935	242467448	200	-0.253498804672017
C121_S121_R1_001	3	1	168347498	298	0.362583217162077
C121_S121_R1_001	3	168881385	172194033	7	1.38426027317137
C121_S121_R1_001	3	172749757	182614660	19	0.362583217162077
C121_S121_R1_001	3	183190752	196668269	25	0.885332392869605
C121_S121_R1_001	4	1	15080121	26	-1.80496612280177
C121_S121_R1_001	4	15622841	19990142	9	-5.72897519914216
C121_S121_R1_001	4	20514786	42295976	41	-1.80496612280177
C121_S121_R1_001	4	42842659	48290424	11	-5.72897519914216
C121_S121_R1_001	4	52919429	120178590	121	0.624116642049146
C121_S121_R1_001	4	120806646	189744482	126	0.104092806833779
C121_S121_R1_001	5	1	15760962	30	-1.80496612280177
C121_S121_R1_001	5	16295392	137039472	206	-0.811863301554813
C121_S121_R1_001	5	137620926	147661552	19	0.624116642049146
C121_S121_R1_001	5	148203545	154252477	12	0.885332392869605
C121_S121_R1_001	5	154815892	179547305	43	0.362583217162077
C121_S121_R1_001	6	1	6746003	13	-0.811863301554813
C121_S121_R1_001	6	7299771	27927264	37	0.624116642049146
C121_S121_R1_001	6	28469863	32607657	8	-1.80496612280177
C121_S121_R1_001	6	33153441	89335264	93	-0.253498804672017
C121_S121_R1_001	6	89899513	93135558	7	-0.811863301554813
C121_S121_R1_001	6	93676475	119746770	48	-0.253498804672017
C121_S121_R1_001	6	120272078	166379474	85	0.362583217162077
C121_S121_R1_001	6	166921027	170375493	7	-0.253498804672017
C121_S121_R1_001	7	1	39781164	72	0.885332392869605
C121_S121_R1_001	7	40410861	71326722	41	0.624116642049146
C121_S121_R1_001	7	72987329	113102373	66	0.885332392869605
C121_S121_R1_001	7	113668695	131265620	33	1.81147450838362
C121_S121_R1_001	7	131813061	158565265	45	-0.811863301554813
C121_S121_R1_001	8	1	70314623	117	0.104092806833779
C121_S121_R1_001	8	70879905	81300678	20	2.77076995794555
C121_S121_R1_001	8	81854407	85670400	8	0.362583217162077
C121_S121_R1_001	8	87055484	92029285	10	2.77076995794555
C121_S121_R1_001	8	92579301	111830516	36	-0.253498804672017
C121_S121_R1_001	8	112365501	124292987	23	2.77076995794555
C121_S121_R1_001	8	124844996	128675273	8	1.81147450838362
C121_S121_R1_001	8	129216376	145702044	30	-0.253498804672017
C121_S121_R1_001	9	1	140478864	192	-1.80496612280177
C121_S121_R1_001	10	1	71375177	110	-1.80496612280177
C121_S121_R1_001	10	71904135	82121594	18	-0.811863301554813
C121_S121_R1_001	10	82692095	134858998	94	-1.80496612280177
C121_S121_R1_001	11	771006	111648094	184	0.104092806833779
C121_S121_R1_001	11	112220568	134397990	42	-0.253498804672017
C121_S121_R1_001	12	1	113313293	195	-0.811863301554813
C121_S121_R1_001	12	113872245	132406160	34	-1.80496612280177
C121_S121_R1_001	13	19931343	32327547	23	-1.80496612280177
C121_S121_R1_001	13	32857941	64086026	57	-0.811863301554813
C121_S121_R1_001	13	64685266	85551562	40	-1.80496612280177
C121_S121_R1_001	13	86085159	94771684	17	-0.811863301554813
C121_S121_R1_001	13	95307880	114450206	36	0.104092806833779
C121_S121_R1_001	14	20629256	45863343	46	-1.80496612280177
C121_S121_R1_001	14	46438896	56451028	19	-5.72897519914216
C121_S121_R1_001	14	57008726	84667651	51	-1.80496612280177
C121_S121_R1_001	14	85195039	92333643	14	0.624116642049146
C121_S121_R1_001	14	92895452	106688236	26	-5.72897519914216
C121_S121_R1_001	15	23761619	38315006	20	-0.253498804672017
C121_S121_R1_001	15	38851324	85947443	81	0.362583217162077
C121_S121_R1_001	15	86502273	101845557	29	-0.253498804672017
C121_S121_R1_001	16	1	60920256	71	-0.811863301554813
C121_S121_R1_001	16	61447635	89003458	48	-1.80496612280177
C121_S121_R1_001	17	1	20931899	32	-0.253498804672017
C121_S121_R1_001	17	25411458	28878797	7	1.38426027317137
C121_S121_R1_001	17	29601936	35577585	10	-0.811863301554813
C121_S121_R1_001	17	36922601	39808094	6	1.81147450838362
C121_S121_R1_001	17	40399800	59828628	33	-0.253498804672017
C121_S121_R1_001	17	60476074	80550637	36	0.885332392869605
C121_S121_R1_001	18	1	48169985	80	-1.80496612280177
C121_S121_R1_001	18	48725675	50860059	5	-5.72897519914216
C121_S121_R1_001	18	51408209	77461193	49	-1.80496612280177
C121_S121_R1_001	19	868244	13910729	22	-0.253498804672017
C121_S121_R1_001	19	14563779	19985731	10	-0.811863301554813
C121_S121_R1_001	19	20731194	23949726	6	-5.72897519914216
C121_S121_R1_001	19	28328978	38020381	18	0.104092806833779
C121_S121_R1_001	19	38619679	50481706	19	0.624116642049146
C121_S121_R1_001	19	51138709	58504281	12	0.104092806833779
C121_S121_R1_001	20	1	24694435	46	0.104092806833779
C121_S121_R1_001	20	30090176	32395610	5	-0.811863301554813
C121_S121_R1_001	20	32988193	44723014	22	0.362583217162077
C121_S121_R1_001	20	45247458	56935733	22	1.38426027317137
C121_S121_R1_001	20	57461975	62347626	10	0.104092806833779
C121_S121_R1_001	21	15768033	47537225	59	-0.811863301554813
C121_S121_R1_001	22	17678039	34944406	26	-0.811863301554813
C121_S121_R1_001	22	35509266	46304865	20	-0.253498804672017
C121_S121_R1_001	22	46844476	50623271	8	-0.811863301554813
C121_S121_R1_001	23	1768812	77227818	119	0.362583217162077
C121_S121_R1_001	23	77842767	154520456	121	-0.253498804672017
C121_S121_R1_001	24	6953627	23115112	14	-5.72897519914216
