ID	chrom	loc.start	loc.end	num.mark	seg.mean
C108_S108_R1_001	1	1311585	9336763	15	0.286052832394228
C108_S108_R1_001	1	9924955	39663211	49	-0.443645479214359
C108_S108_R1_001	1	40254119	152006355	147	0.286052832394228
C108_S108_R1_001	1	152585763	228616665	136	0.521451550290392
C108_S108_R1_001	1	229205321	247759503	34	-0.0318405440409426
C108_S108_R1_001	2	1	132906953	214	-0.0318405440409426
C108_S108_R1_001	2	133530935	242467448	200	-0.443645479214359
C108_S108_R1_001	3	1	7724175	15	0.521451550290392
C108_S108_R1_001	3	8268586	18186042	19	-0.443645479214359
C108_S108_R1_001	3	18710022	39089140	38	0.286052832394228
C108_S108_R1_001	3	39648676	138160298	171	-0.443645479214359
C108_S108_R1_001	3	138754666	141485776	6	0.521451550290392
C108_S108_R1_001	3	142074601	150190099	16	-0.443645479214359
C108_S108_R1_001	3	150747278	172194033	40	0.286052832394228
C108_S108_R1_001	3	172749757	177650471	10	-0.443645479214359
C108_S108_R1_001	3	178177895	196668269	34	0.521451550290392
C108_S108_R1_001	4	1	48290424	87	-0.994695115936858
C108_S108_R1_001	4	52919429	87875495	63	-0.0318405440409426
C108_S108_R1_001	4	88441218	120178590	58	0.286052832394228
C108_S108_R1_001	4	120806646	189744482	126	-0.443645479214359
C108_S108_R1_001	5	1	45680720	82	-0.0318405440409426
C108_S108_R1_001	5	50020331	128700722	139	-0.443645479214359
C108_S108_R1_001	5	129245906	137039472	15	-0.994695115936858
C108_S108_R1_001	5	137620926	141636079	8	0.521451550290392
C108_S108_R1_001	5	142189377	147661552	11	-0.0318405440409426
C108_S108_R1_001	5	148203545	153691750	11	0.521451550290392
C108_S108_R1_001	5	154252477	179547305	44	-0.0318405440409426
C108_S108_R1_001	6	1	7299771	14	-0.994695115936858
C108_S108_R1_001	6	7846580	27927264	36	0.521451550290392
C108_S108_R1_001	6	28469863	32607657	8	-4.53870233728542
C108_S108_R1_001	6	33153441	120272078	149	-0.443645479214359
C108_S108_R1_001	6	120820717	170375493	91	-0.0318405440409426
C108_S108_R1_001	7	1	113102373	179	0.286052832394228
C108_S108_R1_001	7	113668695	131265620	33	0.864978900981416
C108_S108_R1_001	7	131813061	158565265	45	-0.0318405440409426
C108_S108_R1_001	8	1	42165678	73	-0.443645479214359
C108_S108_R1_001	8	42760788	70314623	44	-0.0318405440409426
C108_S108_R1_001	8	70879905	81300678	20	2.55550218607144
C108_S108_R1_001	8	81854407	85670400	8	-0.0318405440409426
C108_S108_R1_001	8	87055484	92029285	10	2.55550218607144
C108_S108_R1_001	8	92579301	111830516	36	-0.994695115936858
C108_S108_R1_001	8	112365501	128675273	31	2.55550218607144
C108_S108_R1_001	8	129216376	145702044	30	-0.443645479214359
C108_S108_R1_001	9	1	37866151	69	-0.0318405440409426
C108_S108_R1_001	9	71390506	140478864	123	-0.443645479214359
C108_S108_R1_001	10	1	29340112	52	-0.443645479214359
C108_S108_R1_001	10	29905028	33889293	8	-0.994695115936858
C108_S108_R1_001	10	34441147	56514702	23	-0.443645479214359
C108_S108_R1_001	10	57045727	72994038	30	-0.0318405440409426
C108_S108_R1_001	10	73509601	80759732	14	0.521451550290392
C108_S108_R1_001	10	82121594	112432563	54	-0.994695115936858
C108_S108_R1_001	10	112964644	134858998	41	-0.443645479214359
C108_S108_R1_001	11	771006	134397990	226	-0.0318405440409426
C108_S108_R1_001	12	1	10086494	17	-0.0318405440409426
C108_S108_R1_001	12	10685666	27781235	32	-0.443645479214359
C108_S108_R1_001	12	28326802	115485969	150	-0.0318405440409426
C108_S108_R1_001	12	116014939	122928298	13	-0.994695115936858
C108_S108_R1_001	12	123537469	132406160	17	-0.443645479214359
C108_S108_R1_001	13	19931343	94771684	137	-0.443645479214359
C108_S108_R1_001	13	95307880	114450206	36	0.286052832394228
C108_S108_R1_001	14	20629256	45297707	45	0.286052832394228
C108_S108_R1_001	14	45863343	57008726	21	-0.443645479214359
C108_S108_R1_001	14	57553697	85195039	51	0.286052832394228
C108_S108_R1_001	14	85721609	92333643	13	0.864978900981416
C108_S108_R1_001	14	92895452	106688236	26	-0.443645479214359
C108_S108_R1_001	15	23761619	101845557	130	-0.0318405440409426
C108_S108_R1_001	16	1	60920256	71	-0.0318405440409426
C108_S108_R1_001	16	61447635	89003458	48	-0.994695115936858
C108_S108_R1_001	17	1	20931899	32	-0.994695115936858
C108_S108_R1_001	17	25411458	28878797	7	0.864978900981416
C108_S108_R1_001	17	29601936	35577585	10	-0.994695115936858
C108_S108_R1_001	17	36922601	40399800	7	1.51594685304977
C108_S108_R1_001	17	41002388	59828628	32	-0.994695115936858
C108_S108_R1_001	17	60476074	80550637	36	0.521451550290392
C108_S108_R1_001	18	1	32564704	51	-0.443645479214359
C108_S108_R1_001	18	33109510	53705980	39	-0.994695115936858
C108_S108_R1_001	18	54246556	77461193	44	-0.443645479214359
C108_S108_R1_001	19	868244	19985731	32	-0.443645479214359
C108_S108_R1_001	19	20731194	23949726	6	-4.53870233728542
C108_S108_R1_001	19	28328978	58504281	49	0.286052832394228
C108_S108_R1_001	20	1	37058265	59	0.864978900981416
C108_S108_R1_001	20	37610975	44140289	13	0.521451550290392
C108_S108_R1_001	20	44723014	56935733	23	1.51594685304977
C108_S108_R1_001	20	57461975	62347626	10	0.521451550290392
C108_S108_R1_001	21	15768033	47537225	59	-0.0318405440409426
C108_S108_R1_001	22	17678039	47391772	48	-0.0318405440409426
C108_S108_R1_001	22	47920693	50623271	6	0.521451550290392
C108_S108_R1_001	23	1768812	77842767	120	-0.0318405440409426
C108_S108_R1_001	23	78406596	99851437	31	-0.994695115936858
C108_S108_R1_001	23	100438494	103702507	5	-0.443645479214359
C108_S108_R1_001	23	104296894	154520456	84	-0.994695115936858
C108_S108_R1_001	24	6953627	23115112	14	-4.53870233728542
