ID	chrom	loc.start	loc.end	num.mark	seg.mean
C117_S117_R1_001	1	1311585	247759503	381	0.00930781696949652
C117_S117_R1_001	2	1	242467448	414	-0.0151166832823386
C117_S117_R1_001	3	1	196668269	349	0.00930781696949652
C117_S117_R1_001	4	1	189744482	334	0.00930781696949652
C117_S117_R1_001	5	1	179547305	310	0.00930781696949652
C117_S117_R1_001	6	1	27927264	50	-0.0151166832823386
C117_S117_R1_001	6	28469863	32607657	8	-4.3791630310374
C117_S117_R1_001	6	33153441	170375493	240	0.00930781696949652
C117_S117_R1_001	7	1	158565265	257	0.00930781696949652
C117_S117_R1_001	8	1	145702044	252	-0.0151166832823386
C117_S117_R1_001	9	1	140478864	192	0.00930781696949652
C117_S117_R1_001	10	1	134858998	222	-0.0151166832823386
C117_S117_R1_001	11	771006	134397990	226	0.00930781696949652
C117_S117_R1_001	12	1	132406160	229	0.00930781696949652
C117_S117_R1_001	13	19931343	114450206	173	-0.0151166832823386
C117_S117_R1_001	14	20629256	106688236	156	-0.0151166832823386
C117_S117_R1_001	15	23761619	101845557	130	0.00930781696949652
C117_S117_R1_001	16	1	89003458	119	-0.0151166832823386
C117_S117_R1_001	17	1	80550637	124	0.00930781696949652
C117_S117_R1_001	18	1	77461193	134	-0.0151166832823386
C117_S117_R1_001	19	868244	58504281	87	0.0793286543841987
C117_S117_R1_001	20	1	62347626	105	0.00930781696949652
C117_S117_R1_001	21	15768033	47537225	59	-0.0151166832823386
C117_S117_R1_001	22	17678039	50623271	54	0.00930781696949652
C117_S117_R1_001	23	1768812	47205772	82	0.00930781696949652
C117_S117_R1_001	23	48563485	80753799	43	0.202544474022391
C117_S117_R1_001	23	81331946	154520456	115	0.0793286543841987
C117_S117_R1_001	24	6953627	23115112	14	-4.3791630310374
